Date,Open,High,Low,Close,Adj Close,Volume
2010-07-14,11.400000,11.400000,11.200000,11.115270,11.200000,15700
2010-07-15,11.300000,11.400000,11.200000,11.313755,11.400000,49600
2010-07-16,11.300000,11.400000,11.200000,11.115270,11.200000,13100
2010-07-19,11.300000,11.300000,11.200000,11.115270,11.200000,31300
2010-07-20,11.200000,11.300000,11.000000,11.115270,11.200000,27400
2010-07-21,11.100000,11.200000,11.000000,10.916782,11.000000,24500
2010-07-22,11.000000,11.300000,11.000000,11.115270,11.200000,453300
2010-07-23,11.300000,11.300000,10.900001,11.016026,11.100000,24000
2010-07-26,11.100000,11.200000,11.100000,11.115270,11.200000,21000
2010-07-27,11.200000,11.400000,11.200000,11.313755,11.400000,36700
2010-07-28,11.400000,11.500000,11.300000,11.313755,11.400000,14300
2010-07-29,11.500000,11.500000,11.300000,11.413000,11.500000,12100
2010-07-30,11.500000,12.000001,11.300000,11.909218,12.000001,15800
2010-08-03,12.200000,12.200000,11.000000,11.214514,11.300000,28100
2010-08-04,11.300000,11.700000,11.200000,11.214514,11.300000,8500
2010-08-05,11.300000,12.100000,11.300000,11.809975,11.900001,18900
2010-08-06,12.100000,12.200000,11.599999,11.611486,11.700000,58200
2010-08-09,12.200000,12.200000,11.700000,11.710729,11.799999,45100
2010-08-10,11.799999,11.799999,11.300000,11.611486,11.700000,19300
2010-08-11,11.799999,11.799999,10.499999,10.619052,10.700001,137900
2010-08-12,10.800000,11.300000,10.800000,11.016026,11.100000,11400
2010-08-13,11.500000,12.000001,11.300000,11.710729,11.799999,50600
2010-08-16,12.000001,12.000001,11.599999,11.710729,11.799999,16000
2010-08-17,11.900001,11.900001,11.599999,11.611486,11.700000,11200
2010-08-18,11.700000,11.900001,11.700000,11.809975,11.900001,14700
2010-08-19,12.100000,12.400000,12.000001,12.008461,12.100000,18300
2010-08-20,12.200000,12.500000,12.200000,12.405435,12.500000,19700
2010-08-23,12.600000,12.900000,12.600000,12.802407,12.900000,40000
2010-08-24,12.800000,12.800000,12.200000,12.107704,12.200000,48900
2010-08-25,12.200000,12.400000,11.799999,11.710729,11.799999,26200
2010-08-26,11.799999,11.799999,11.500000,11.710729,11.799999,22400
2010-08-27,11.599999,11.700000,11.500000,11.611486,11.700000,6700
2010-08-30,11.300000,11.400000,11.100000,11.016026,11.100000,20800
2010-08-31,11.100000,11.400000,10.800000,11.313755,11.400000,29700
2010-09-01,11.500000,11.500000,11.100000,11.214514,11.300000,4100
2010-09-02,11.200000,11.400000,11.100000,11.313755,11.400000,14200
2010-09-03,11.400000,11.400000,11.200000,11.313755,11.400000,13100
2010-09-07,11.900001,11.900001,11.400000,11.413000,11.500000,9700
