Date,Open,High,Low,Close,Volume,Adj Close
2017-01-20,5.52,5.57,5.28,5.30,39700,5.30
2017-01-19,5.53,5.58,5.45,5.48,26500,5.48
2017-01-18,5.45,5.50,5.43,5.46,11000,5.46
2017-01-17,5.52,5.54,5.44,5.46,38100,5.46
2017-01-16,5.53,5.55,5.50,5.50,15800,5.50
2017-01-13,5.53,5.61,5.52,5.52,9700,5.52
2017-01-12,5.68,5.68,5.52,5.53,19000,5.53
2017-01-11,5.62,5.69,5.56,5.58,52200,5.58
2017-01-10,5.54,5.63,5.45,5.50,100300,5.50
2017-01-09,5.37,5.61,5.28,5.39,61700,5.39
2017-01-06,5.20,5.34,5.16,5.25,42500,5.25
2017-01-05,5.15,5.20,5.12,5.15,64200,5.15
2017-01-04,5.19,5.19,5.10,5.15,17200,5.15
2017-01-03,5.21,5.21,5.05,5.10,31000,5.10
2016-12-30,5.18,5.21,5.16,5.21,13600,5.21
2016-12-29,5.18,5.21,5.07,5.14,33200,5.14
2016-12-28,5.22,5.26,5.13,5.18,22600,5.18
2016-12-23,5.08,5.18,5.06,5.18,16700,5.18
2016-12-22,5.05,5.09,5.02,5.02,53500,5.02
2016-12-21,5.10,5.14,5.05,5.05,47900,5.05
2016-12-20,5.10,5.23,5.06,5.12,27800,5.12
2016-12-19,5.12,5.19,5.07,5.11,58000,5.11
2016-12-16,5.25,5.25,5.11,5.19,33500,5.19
2016-12-15,5.21,5.30,5.10,5.29,36000,5.29
2016-12-14,5.37,5.38,5.22,5.27,61100,5.27
2016-12-13,5.41,5.47,5.37,5.39,40300,5.39
2016-12-12,5.50,5.50,5.40,5.41,42200,5.41
2016-12-09,5.50,5.50,5.41,5.44,27900,5.44
2016-12-08,5.45,5.53,5.41,5.53,57400,5.53
2016-12-07,5.70,5.70,5.31,5.34,98600,5.34
2016-12-06,5.61,5.74,5.52,5.60,83200,5.60
2016-12-05,5.59,5.74,5.50,5.59,52700,5.59
2016-12-02,5.74,5.74,5.50,5.55,88500,5.55
2016-12-01,5.01,5.93,5.00,5.62,331000,5.62
2016-11-30,5.01,5.02,4.84,4.94,76200,4.94
2016-11-29,4.95,5.04,4.87,4.97,52300,4.97
2016-11-28,5.00,5.00,4.87,4.89,63800,4.89
2016-11-25,5.10,5.19,4.97,4.98,27500,4.967
2016-11-24,5.34,5.34,5.04,5.10,59100,5.086687
2016-11-23,5.21,5.27,5.04,5.04,128600,5.026843
2016-11-22,4.89,4.97,4.56,4.94,233000,4.927104
2016-11-21,4.70,4.78,4.60,4.78,96200,4.767522
2016-11-18,4.59,4.73,4.55,4.72,54600,4.707678
2016-11-17,4.66,4.73,4.60,4.64,63400,4.627887
2016-11-16,4.76,4.87,4.64,4.65,85000,4.637862
2016-11-15,4.29,4.84,4.29,4.72,95600,4.707678
2016-11-14,4.55,4.55,4.20,4.25,213500,4.238906
2016-11-11,4.80,4.82,4.55,4.55,149100,4.538123
2016-11-10,5.05,5.06,4.76,4.82,337100,4.807418
2016-11-09,5.27,5.27,5.01,5.08,167800,5.066739
2016-11-08,5.36,5.36,5.30,5.30,59100,5.286165
2016-11-07,5.40,5.44,5.31,5.34,71500,5.32606
2016-11-04,5.48,5.48,5.30,5.37,96000,5.355982
2016-11-03,5.30,5.47,5.30,5.45,81300,5.435773
2016-11-02,5.23,5.44,5.16,5.28,112200,5.266217
2016-11-01,5.37,5.45,5.15,5.30,235200,5.286165
2016-10-31,5.69,5.71,5.33,5.38,185000,5.365956
2016-10-28,5.72,5.76,5.61,5.61,82100,5.595356
2016-10-27,5.85,5.85,5.71,5.74,92500,5.725016
2016-10-26,5.80,5.84,5.67,5.83,170700,5.814781
2016-10-25,6.01,6.01,5.82,5.82,71800,5.804807
2016-10-24,6.03,6.03,5.98,5.99,61000,5.974363
2016-10-21,5.98,6.01,5.97,5.98,79300,5.96439
2016-10-20,6.01,6.03,5.95,5.97,80700,5.954415
2016-10-19,6.00,6.04,5.98,5.99,72800,5.974363
2016-10-18,6.03,6.04,5.93,5.96,83400,5.944442
2016-10-17,6.04,6.05,6.01,6.02,62200,6.004285
2016-10-14,6.01,6.04,5.99,6.03,105900,6.014259
2016-10-13,6.04,6.05,5.97,6.00,109200,5.984337
2016-10-12,6.10,6.12,6.02,6.03,39400,6.014259
2016-10-11,6.08,6.10,6.01,6.08,95900,6.064128
2016-10-07,6.07,6.15,6.03,6.07,99800,6.054155
2016-10-06,6.03,6.20,5.96,6.10,388100,6.084076
2016-10-05,6.50,6.50,6.35,6.40,78300,6.383293
2016-10-04,6.54,6.57,6.40,6.50,84700,6.483032
2016-10-03,6.57,6.62,6.55,6.56,46400,6.542875
2016-09-30,6.59,6.60,6.52,6.58,47300,6.562823
2016-09-29,6.70,6.70,6.50,6.57,118800,6.55285
2016-09-28,6.65,6.68,6.59,6.59,54100,6.572797
2016-09-27,6.65,6.70,6.65,6.69,6200,6.672536
2016-09-26,6.90,6.90,6.69,6.69,46800,6.672536
2016-09-23,6.76,6.88,6.68,6.87,52600,6.852066
2016-09-22,6.95,6.98,6.81,6.81,35500,6.792223
2016-09-21,6.80,6.95,6.80,6.95,43500,6.931857
2016-09-20,6.50,6.77,6.50,6.77,114500,6.752327
2016-09-19,6.51,6.52,6.50,6.51,45200,6.493006
2016-09-16,6.61,6.67,6.50,6.52,67100,6.50298
2016-09-15,6.78,6.79,6.59,6.63,47400,6.612693
2016-09-14,6.87,6.90,6.67,6.76,33900,6.742354
2016-09-13,7.02,7.07,6.80,6.88,31000,6.86204
2016-09-12,7.00,7.10,7.00,7.07,19300,7.051544
2016-09-09,6.77,7.40,6.77,7.20,35500,7.181205
2016-09-08,0.72,0.74,0.72,0.72,26100,7.181205
2016-09-07,0.73,0.73,0.72,0.72,9200,7.181205
2016-09-06,0.71,0.73,0.71,0.72,18100,7.181205
2016-09-02,0.74,0.74,0.71,0.73,26300,7.280944
2016-09-01,0.73,0.73,0.71,0.71,81500,7.081466
2016-08-31,0.68,0.72,0.67,0.72,72400,7.181205
2016-08-30,0.71,0.71,0.65,0.65,76500,6.483032
2016-08-29,0.69,0.70,0.69,0.69,23800,6.881988
2016-08-26,0.69,0.69,0.68,0.69,31100,6.881988
2016-08-25,0.67,0.70,0.67,0.69,39700,6.881988
2016-08-24,0.69,0.70,0.67,0.67,29500,6.68251
2016-08-23,0.68,0.70,0.68,0.69,39900,6.881988
2016-08-22,0.69,0.71,0.68,0.70,35300,6.981727
2016-08-19,0.71,0.72,0.69,0.69,65200,6.881988
2016-08-18,0.72,0.74,0.71,0.74,32100,7.380683
2016-08-17,0.75,0.75,0.70,0.71,75400,7.081466
2016-08-16,0.69,0.74,0.67,0.74,157800,7.380683
2016-08-15,0.68,0.69,0.67,0.69,57700,6.881988
2016-08-12,0.67,0.69,0.67,0.67,58400,6.68251
2016-08-11,0.66,0.67,0.65,0.67,64800,6.68251
2016-08-10,0.66,0.67,0.65,0.67,45000,6.68251
2016-08-09,0.64,0.65,0.63,0.65,51300,6.483032
2016-08-08,0.66,0.67,0.63,0.63,105300,6.283554
2016-08-05,0.64,0.67,0.63,0.64,118700,6.383293
2016-08-04,0.63,0.64,0.62,0.64,98700,6.383293
2016-08-03,0.59,0.65,0.59,0.62,231700,6.183815
2016-08-02,0.60,0.60,0.59,0.60,14200,5.984337
2016-07-29,0.60,0.60,0.59,0.60,17200,5.984337
2016-07-28,0.60,0.60,0.58,0.58,12300,5.78486
2016-07-27,0.60,0.60,0.58,0.60,34600,5.984337
2016-07-26,0.59,0.59,0.58,0.59,16000,5.884599
2016-07-25,0.56,0.60,0.56,0.59,26700,5.884599
2016-07-22,0.57,0.58,0.55,0.55,56400,5.485643
2016-07-21,0.60,0.61,0.56,0.56,146500,5.585381
2016-07-20,0.59,0.60,0.58,0.59,18100,5.884599
2016-07-19,0.59,0.60,0.58,0.58,11200,5.78486
2016-07-18,0.60,0.60,0.59,0.60,28100,5.984337
2016-07-15,0.59,0.60,0.58,0.60,8000,5.984337
2016-07-14,0.59,0.60,0.58,0.60,18200,5.984337
2016-07-13,0.59,0.60,0.56,0.58,17600,5.78486
2016-07-12,0.60,0.61,0.57,0.58,39900,5.78486
2016-07-11,0.57,0.60,0.57,0.58,31400,5.78486
2016-07-08,0.56,0.57,0.54,0.55,51100,5.485643
2016-07-07,0.58,0.64,0.52,0.53,112500,5.286165
2016-07-06,0.54,0.57,0.54,0.56,51200,5.585381
2016-07-05,0.52,0.54,0.50,0.54,27100,5.385904
2016-07-04,0.51,0.52,0.51,0.51,23800,5.086687
2016-06-30,0.49,0.52,0.49,0.50,20200,4.986948
2016-06-29,0.49,0.49,0.48,0.49,10600,4.887209
2016-06-28,0.49,0.50,0.49,0.49,7000,4.887209
2016-06-27,0.48,0.50,0.48,0.48,9100,4.78747
2016-06-24,0.48,0.49,0.48,0.48,16000,4.78747
2016-06-23,0.48,0.49,0.47,0.49,47900,4.887209
2016-06-22,0.48,0.49,0.48,0.48,3600,4.78747
2016-06-21,0.48,0.49,0.48,0.48,15000,4.78747
2016-06-20,0.49,0.52,0.48,0.48,78200,4.78747
2016-06-17,0.47,0.48,0.47,0.48,16800,4.78747
2016-06-16,0.47,0.48,0.47,0.48,78900,4.78747
2016-06-15,0.44,0.46,0.44,0.46,124000,4.587992
2016-06-14,0.44,0.45,0.44,0.45,23500,4.488253
2016-06-13,0.45,0.45,0.44,0.44,12200,4.388514
2016-06-10,0.45,0.45,0.44,0.45,7900,4.488253
2016-06-09,0.44,0.45,0.44,0.44,26000,4.388514
2016-06-08,0.45,0.45,0.44,0.44,32100,4.388514
2016-06-07,0.45,0.45,0.44,0.45,17800,4.488253
2016-06-06,0.44,0.45,0.44,0.45,9900,4.488253
2016-06-03,0.45,0.45,0.44,0.44,19900,4.388514
2016-06-02,0.45,0.45,0.44,0.45,13000,4.488253
2016-06-01,0.45,0.45,0.44,0.45,31700,4.488253
2016-05-31,0.45,0.45,0.45,0.45,4300,4.488253
2016-05-30,0.45,0.45,0.44,0.45,4300,4.488253
2016-05-27,0.45,0.45,0.45,0.45,5900,4.488253
2016-05-26,0.45,0.45,0.44,0.44,27300,4.388514
2016-05-25,0.45,0.45,0.44,0.44,12500,4.388514
2016-05-24,0.44,0.45,0.44,0.45,7100,4.488253
2016-05-20,0.45,0.45,0.44,0.45,6200,4.488253
2016-05-19,0.45,0.45,0.44,0.44,9700,4.388514
2016-05-18,0.45,0.45,0.44,0.45,17100,4.488253
2016-05-17,0.45,0.45,0.44,0.45,12900,4.488253
2016-05-16,0.44,0.46,0.44,0.45,8300,4.488253
2016-05-13,0.44,0.44,0.43,0.44,38100,4.388514
2016-05-12,0.44,0.44,0.44,0.44,11200,4.388514
2016-05-11,0.46,0.46,0.43,0.45,24000,4.488253
2016-05-10,0.47,0.48,0.46,0.47,6900,4.687731
2016-05-09,0.47,0.48,0.47,0.47,14300,4.687731
2016-05-06,0.45,0.47,0.44,0.47,12600,4.687731
2016-05-05,0.44,0.46,0.43,0.43,8200,4.288775
2016-05-04,0.45,0.45,0.43,0.44,23600,4.388514
2016-05-03,0.46,0.46,0.45,0.45,11700,4.488253
2016-05-02,0.46,0.47,0.46,0.46,25000,4.587992
2016-04-29,0.47,0.47,0.45,0.46,9300,4.587992
2016-04-28,0.46,0.47,0.46,0.46,9000,4.587992
2016-04-27,0.46,0.47,0.46,0.47,10400,4.687731
2016-04-26,0.45,0.46,0.45,0.46,1900,4.587992
2016-04-25,0.45,0.47,0.45,0.46,33300,4.587992
2016-04-22,0.45,0.45,0.44,0.45,12300,4.488253
2016-04-21,0.44,0.45,0.44,0.45,14300,4.488253
2016-04-20,0.43,0.45,0.43,0.44,18900,4.388514
2016-04-19,0.43,0.43,0.43,0.43,16300,4.288775
2016-04-18,0.43,0.44,0.43,0.43,12900,4.288775
2016-04-15,0.44,0.45,0.43,0.43,7500,4.288775
2016-04-14,0.43,0.46,0.43,0.44,27500,4.388514
2016-04-13,0.43,0.43,0.42,0.42,12900,4.189036
2016-04-12,0.43,0.43,0.42,0.43,14900,4.288775
2016-04-11,0.43,0.44,0.43,0.43,15000,4.288775
2016-04-08,0.43,0.44,0.43,0.43,5100,4.288775
2016-04-07,0.43,0.45,0.42,0.43,19900,4.288775
2016-04-06,0.43,0.44,0.42,0.43,7500,4.288775
2016-04-05,0.44,0.44,0.42,0.43,24600,4.288775
2016-04-04,0.44,0.45,0.43,0.44,17600,4.388514
2016-04-01,0.44,0.45,0.43,0.45,12900,4.488253
2016-03-31,0.45,0.45,0.43,0.44,11900,4.388514
2016-03-30,0.44,0.45,0.44,0.44,9400,4.388514
2016-03-29,0.44,0.45,0.44,0.45,25900,4.488253
2016-03-28,0.45,0.45,0.44,0.45,39000,4.488253
2016-03-24,0.44,0.45,0.44,0.45,14500,4.488253
2016-03-23,0.43,0.45,0.43,0.44,12800,4.388514
2016-03-22,0.43,0.44,0.43,0.44,19700,4.388514
2016-03-21,0.46,0.46,0.42,0.43,43400,4.288775
2016-03-18,0.45,0.46,0.45,0.45,7600,4.488253
2016-03-17,0.45,0.45,0.44,0.45,23900,4.488253
2016-03-16,0.48,0.48,0.45,0.45,33200,4.488253
2016-03-15,0.50,0.50,0.49,0.49,22300,4.887209
2016-03-14,0.51,0.52,0.50,0.50,19600,4.986948
2016-03-11,0.51,0.52,0.50,0.52,14500,5.186426
2016-03-10,0.50,0.53,0.50,0.50,28400,4.986948
2016-03-09,0.50,0.52,0.47,0.50,36400,4.986948
2016-03-08,0.48,0.48,0.46,0.48,12000,4.78747
2016-03-07,0.46,0.48,0.46,0.48,28700,4.78747
2016-03-04,0.48,0.48,0.45,0.46,13700,4.587992
2016-03-03,0.46,0.48,0.46,0.47,10800,4.687731
2016-03-02,0.46,0.46,0.46,0.46,12300,4.587992
2016-03-01,0.45,0.46,0.45,0.46,13900,4.587992
2016-02-29,0.45,0.45,0.44,0.45,13700,4.488253
2016-02-26,0.45,0.45,0.44,0.45,5800,4.488253
2016-02-25,0.45,0.45,0.44,0.44,5500,4.388514
2016-02-24,0.44,0.46,0.44,0.45,4000,4.488253
2016-02-23,0.44,0.46,0.43,0.45,14100,4.488253
2016-02-22,0.44,0.44,0.43,0.44,14900,4.388514
2016-02-19,0.44,0.44,0.43,0.43,9900,4.288775
2016-02-18,0.45,0.45,0.43,0.44,16300,4.388514
2016-02-17,0.43,0.45,0.42,0.45,10400,4.488253
2016-02-16,0.43,0.44,0.42,0.44,12300,4.388514
2016-02-12,0.42,0.44,0.42,0.43,29300,4.288775
2016-02-11,0.42,0.42,0.40,0.42,119200,4.189036
2016-02-10,0.44,0.44,0.43,0.44,20600,4.388514
2016-02-09,0.43,0.44,0.43,0.44,19600,4.388514
2016-02-08,0.47,0.47,0.43,0.44,34700,4.388514
2016-02-05,0.46,0.46,0.46,0.46,4700,4.587992
2016-02-04,0.46,0.46,0.46,0.46,24600,4.587992
2016-02-03,0.46,0.47,0.46,0.46,12400,4.587992
2016-02-02,0.46,0.47,0.45,0.46,12600,4.587992
2016-02-01,0.46,0.46,0.45,0.45,11100,4.488253
2016-01-29,0.46,0.46,0.44,0.46,28400,4.587992
2016-01-28,0.44,0.46,0.44,0.46,12900,4.587992
2016-01-27,0.46,0.46,0.44,0.44,24400,4.388514
2016-01-26,0.44,0.45,0.44,0.45,10000,4.488253
2016-01-25,0.45,0.45,0.44,0.45,10000,4.488253
2016-01-22,0.45,0.45,0.44,0.45,44800,4.488253
2016-01-21,0.44,0.44,0.44,0.44,9600,4.388514
2016-01-20,0.44,0.44,0.43,0.44,15000,4.388514
2016-01-19,0.44,0.45,0.44,0.44,14900,4.388514
2016-01-18,0.44,0.44,0.43,0.44,10100,4.388514
2016-01-15,0.46,0.46,0.44,0.45,13400,4.488253
2016-01-14,0.44,0.46,0.44,0.46,28100,4.587992
2016-01-13,0.44,0.45,0.44,0.44,11800,4.388514
2016-01-12,0.44,0.45,0.43,0.44,8900,4.388514
2016-01-11,0.44,0.44,0.43,0.43,17900,4.288775
2016-01-08,0.44,0.45,0.44,0.44,14200,4.388514
2016-01-07,0.45,0.45,0.43,0.44,17600,4.388514
2016-01-06,0.45,0.46,0.45,0.45,13700,4.488253
2016-01-05,0.47,0.48,0.45,0.45,7300,4.488253
2016-01-04,0.47,0.48,0.45,0.47,7000,4.687731
2015-12-31,0.47,0.47,0.45,0.46,10400,4.587992
2015-12-30,0.45,0.46,0.45,0.45,17700,4.488253
2015-12-29,0.43,0.45,0.43,0.45,24000,4.488253
2015-12-24,0.44,0.44,0.43,0.44,4700,4.388514
2015-12-23,0.43,0.44,0.42,0.44,29100,4.388514
2015-12-22,0.43,0.43,0.43,0.43,8600,4.288775
2015-12-21,0.45,0.45,0.43,0.44,8200,4.388514
2015-12-18,0.45,0.46,0.43,0.44,34700,4.388514
2015-12-17,0.44,0.45,0.44,0.45,55700,4.488253
2015-12-16,0.44,0.44,0.43,0.44,42200,4.388514
2015-12-15,0.44,0.45,0.43,0.44,11800,4.388514
2015-12-14,0.43,0.45,0.43,0.44,22100,4.388514
2015-12-11,0.44,0.45,0.42,0.43,34300,4.288775
2015-12-10,0.43,0.44,0.43,0.44,12100,4.388514
2015-12-09,0.43,0.44,0.43,0.43,12900,4.288775
2015-12-08,0.45,0.45,0.43,0.43,5600,4.288775
2015-12-07,0.44,0.46,0.43,0.45,15400,4.488253
2015-12-04,0.44,0.45,0.43,0.43,40200,4.288775
2015-12-03,0.43,0.44,0.43,0.43,8800,4.288775
2015-12-02,0.44,0.44,0.44,0.44,7400,4.388514
2015-12-01,0.44,0.44,0.43,0.44,13200,4.388514
2015-11-30,0.44,0.44,0.43,0.44,9700,4.388514
2015-11-27,0.44,0.45,0.44,0.44,4900,4.388514
2015-11-26,0.45,0.45,0.44,0.44,4000,4.388514
2015-11-25,0.43,0.46,0.43,0.45,10900,4.488253
2015-11-24,0.44,0.44,0.43,0.43,8700,4.288775
2015-11-23,0.44,0.44,0.43,0.43,9000,4.288775
2015-11-20,0.43,0.45,0.43,0.45,7200,4.488253
