Date,Open,High,Low,Close,Adj Close,Volume
2014-11-11,40.070000,40.279999,39.910000,39.959999,39.959999,2018300
2014-11-12,null,null,null,null,null,null
2014-11-13,null,null,null,null,null,null
2014-11-14,null,null,null,null,null,null
2014-11-17,null,null,null,null,null,null
2014-11-18,39.830002,39.830002,38.950001,39.169998,39.169998,4056400
2014-11-19,null,null,null,null,null,null
2014-11-20,null,null,null,null,null,null
2014-11-21,null,null,null,null,null,null
2014-11-24,null,null,null,null,null,null
2014-11-25,null,null,null,null,null,null
2014-11-26,null,null,null,null,null,null
2014-11-28,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2014-12-02,null,null,null,null,null,null
2014-12-03,null,null,null,null,null,null
2014-12-04,38.029999,38.459999,37.619999,37.939999,37.939999,4985700
2014-12-05,null,null,null,null,null,null
2014-12-08,38.000000,38.869999,37.689999,38.490002,38.490002,3697400
2014-12-09,39.750000,40.020000,38.509998,38.580002,38.580002,5359900
2014-12-10,38.900002,40.549999,38.869999,40.419998,40.419998,6220400
2014-12-11,null,null,null,null,null,null
2014-12-12,null,null,null,null,null,null
2014-12-15,null,null,null,null,null,null
2014-12-16,43.259998,43.680000,40.779999,43.610001,43.610001,5343200
2014-12-17,43.290001,43.400002,40.720001,41.060001,41.060001,6391500
2014-12-18,39.259998,39.750000,38.000000,38.009998,38.009998,7947500
2014-12-19,37.570000,38.020000,37.070000,37.529999,37.529999,3236100
2014-12-22,37.380001,37.540001,37.000000,37.000000,37.000000,2599100
2014-12-23,36.590000,36.980000,36.590000,36.820000,36.820000,2310300
2014-12-24,null,null,null,null,null,null
2014-12-26,null,null,null,null,null,null
2014-12-29,36.590000,36.630001,36.209999,36.310001,36.310001,1743700
2014-12-30,null,null,null,null,null,null
2014-12-31,36.740002,38.099998,36.619999,38.040001,38.040001,2626600
2015-01-02,37.549999,38.779999,37.270000,38.090000,38.090000,3289500
2015-01-05,null,null,null,null,null,null
2015-01-06,null,null,null,null,null,null
2015-01-07,null,null,null,null,null,null
2015-01-08,null,null,null,null,null,null
2015-01-09,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-13,null,null,null,null,null,null
2015-01-14,41.230000,41.849998,40.360001,40.500000,40.500000,8563800
2015-01-15,null,null,null,null,null,null
2015-01-16,null,null,null,null,null,null
2015-01-20,null,null,null,null,null,null
2015-01-21,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-23,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-01-27,null,null,null,null,null,null
2015-01-28,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-01-30,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-03,null,null,null,null,null,null
2015-02-04,null,null,null,null,null,null
2015-02-05,null,null,null,null,null,null
2015-02-06,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-10,null,null,null,null,null,null
2015-02-11,null,null,null,null,null,null
2015-02-12,null,null,null,null,null,null
2015-02-13,null,null,null,null,null,null
2015-02-17,null,null,null,null,null,null
2015-02-18,null,null,null,null,null,null
2015-02-19,null,null,null,null,null,null
2015-02-20,null,null,null,null,null,null
2015-02-23,null,null,null,null,null,null
2015-02-24,null,null,null,null,null,null
2015-02-25,null,null,null,null,null,null
2015-02-26,null,null,null,null,null,null
