Date,Open,High,Low,Close,Volume,Adj Close
2016-12-16,84.620003,84.639999,83.110001,83.580002,2055800,83.580002
2016-12-15,83.32,85.099998,83.129997,83.940002,2447500,83.940002
2016-12-14,84.690002,85.650002,82.410004,83.089996,3485500,83.089996
2016-12-13,84.269997,85.730003,84.25,85.029999,2469300,85.029999
2016-12-12,83.620003,84.220001,82.900002,83.440002,1858300,83.440002
2016-12-09,82.540001,83.709999,82.480003,83.669998,2160200,83.669998
2016-12-08,81.589996,82.830002,81.269997,82.199997,2024400,82.199997
2016-12-07,78.379997,81.709999,78.209999,81.580002,3035800,81.580002
2016-12-06,78.059998,78.599998,77.470001,78.580002,1802100,78.580002
2016-12-05,77.449997,78.239998,77.230003,77.720001,2034500,77.720001
2016-12-02,76.440002,77.040001,76.019997,76.43,1510200,76.43
2016-12-01,77.540001,77.559998,75.900002,76.290001,2122500,76.290001
2016-11-30,78.550003,78.75,77.129997,77.18,2199000,77.18
2016-11-29,77.379997,78.330002,76.989998,77.800003,1428700,77.800003
2016-11-28,78.050003,78.389999,77.199997,77.360001,1675700,77.360001
2016-11-25,78.00,78.470001,77.900002,78.470001,701600,78.470001
2016-11-23,76.82,77.639999,76.580002,77.580002,1638300,77.580002
2016-11-22,77.419998,77.68,76.57,77.440002,1917100,77.440002
2016-11-21,76.00,77.040001,75.849998,76.989998,2300700,76.989998
2016-11-18,75.889999,76.099998,75.089996,75.300003,1894600,75.300003
2016-11-17,74.839996,75.889999,74.730003,75.800003,1869900,75.800003
2016-11-16,74.349998,74.949997,74.220001,74.709999,1726900,74.709999
2016-11-15,73.870003,75.089996,73.599998,75.089996,2302000,75.089996
2016-11-14,73.849998,74.089996,72.529999,73.379997,2301900,73.379997
2016-11-11,72.940002,73.510002,72.110001,73.239998,3038600,73.239998
2016-11-10,74.18,75.150002,72.019997,73.730003,4904700,73.730003
2016-11-09,69.129997,73.900002,69.099998,73.279999,5968800,73.279999
2016-11-08,69.540001,71.599998,69.25,70.870003,2702300,70.870003
2016-11-07,68.43,70.040001,68.269997,69.919998,2870400,69.919998
2016-11-04,66.00,66.940002,65.510002,65.599998,2700600,65.599998
2016-11-03,67.059998,67.279999,65.599998,65.910004,2342700,65.910004
2016-11-02,67.699997,68.129997,66.330002,66.800003,2444700,66.800003
2016-11-01,69.93,69.989998,66.690002,68.099998,3205300,68.099998
2016-10-31,69.940002,70.199997,69.389999,69.50,1599700,69.50
2016-10-28,70.139999,70.949997,68.790001,69.550003,3703300,69.550003
2016-10-27,71.620003,71.629997,70.129997,70.230003,2313600,70.230003
2016-10-26,70.279999,71.440002,69.980003,70.830002,2135100,70.830002
2016-10-25,71.75,72.019997,71.029999,71.279999,2385100,71.279999
2016-10-24,72.00,72.360001,71.550003,71.889999,1717300,71.889999
2016-10-21,70.029999,71.139999,69.849998,70.989998,1699300,70.989998
2016-10-20,70.940002,71.589996,70.18,70.949997,2285100,70.949997
2016-10-19,71.059998,71.699997,70.68,71.339996,1547000,71.339996
2016-10-18,71.32,71.349998,70.360001,70.75,1734200,70.75
2016-10-17,70.209999,70.50,69.290001,69.559998,2247700,69.559998
2016-10-14,71.330002,71.790001,70.160004,70.239998,3427700,70.239998
2016-10-13,69.32,70.720001,68.339996,70.169998,3034900,70.169998
2016-10-12,70.730003,71.449997,70.139999,70.889999,2469600,70.889999
2016-10-11,72.809998,72.910004,69.709999,70.629997,4520700,70.629997
2016-10-10,73.32,73.879997,73.160004,73.300003,1604200,73.300003
2016-10-07,73.290001,73.50,71.349998,72.209999,2930500,72.209999
2016-10-06,72.559998,73.220001,71.919998,73.00,1424000,73.00
2016-10-05,72.580002,73.32,72.540001,72.879997,2264300,72.879997
2016-10-04,73.190002,73.400002,71.209999,71.93,3087900,71.93
2016-10-03,73.019997,73.269997,72.269997,72.940002,2317900,72.940002
2016-09-30,72.93,74.360001,72.610001,73.639999,2102500,73.639999
2016-09-29,73.699997,74.169998,71.300003,71.949997,3124500,71.949997
2016-09-28,73.120003,74.120003,72.00,73.949997,1819000,73.949997
2016-09-27,71.360001,72.980003,70.900002,72.900002,1774700,72.900002
2016-09-26,72.339996,72.550003,71.32,71.550003,2916100,71.550003
2016-09-23,74.080002,74.25,73.230003,73.360001,1479100,73.360001
2016-09-22,74.370003,74.910004,74.089996,74.519997,3102100,74.519997
2016-09-21,71.599998,73.389999,70.830002,73.199997,3517800,73.199997
2016-09-20,71.82,71.989998,70.800003,70.860001,1708200,70.847
2016-09-19,71.529999,72.290001,70.449997,70.769997,2034900,70.757013
2016-09-16,70.889999,71.099998,69.970001,70.790001,2673600,70.777014
2016-09-15,69.339996,72.050003,69.139999,71.599998,2984600,71.586863
2016-09-14,69.650002,71.050003,68.910004,69.489998,3429800,69.477249
2016-09-13,71.260002,71.550003,68.900002,69.589996,4921900,69.577229
2016-09-12,68.889999,73.25,68.800003,72.739998,4400100,72.726653
2016-09-09,73.699997,73.699997,69.769997,69.830002,5210100,69.817191
2016-09-08,75.330002,75.650002,74.839996,75.190002,2002300,75.176208
2016-09-07,75.559998,75.949997,75.00,75.760002,2455700,75.746103
2016-09-06,75.400002,75.809998,74.559998,75.779999,2661800,75.766096
2016-09-02,75.059998,75.599998,74.400002,75.059998,2509900,75.046227
2016-09-01,74.110001,74.43,72.690002,74.110001,2218900,74.096404
2016-08-31,74.330002,74.449997,73.160004,74.050003,2687800,74.036418
2016-08-30,74.989998,75.339996,74.07,74.68,2241700,74.666299
2016-08-29,74.160004,75.410004,74.139999,75.080002,1307200,75.066227
2016-08-26,74.660004,75.879997,72.959999,74.019997,3683700,74.006417
2016-08-25,74.129997,74.940002,73.940002,74.370003,2627200,74.356359
2016-08-24,75.580002,75.709999,74.099998,74.68,2695100,74.666299
2016-08-23,76.059998,76.43,75.699997,75.75,1840400,75.736103
2016-08-22,75.059998,75.589996,74.599998,75.32,1655800,75.306181
2016-08-19,75.089996,75.559998,74.510002,75.339996,1459800,75.326174
2016-08-18,75.160004,75.730003,75.010002,75.690002,1399500,75.676116
2016-08-17,74.790001,75.330002,73.790001,75.160004,2660500,75.146215
2016-08-16,75.400002,75.489998,74.760002,74.760002,1641600,74.746286
2016-08-15,75.730003,76.360001,75.720001,76.010002,1566200,75.996057
2016-08-12,75.089996,75.559998,74.82,75.309998,1447100,75.296181
2016-08-11,75.120003,75.800003,74.779999,75.529999,1712700,75.516142
2016-08-10,75.160004,75.239998,74.040001,74.459999,1466800,74.446338
2016-08-09,75.010002,75.620003,74.629997,75.00,1541000,74.98624
2016-08-08,75.300003,75.400002,74.589996,74.919998,1147400,74.906253
2016-08-05,74.059998,75.080002,73.910004,75.07,1731800,75.056227
2016-08-04,73.150002,73.610001,72.660004,73.279999,1316900,73.266555
2016-08-03,72.260002,73.080002,71.959999,73.019997,2366800,73.0066
2016-08-02,73.489998,73.699997,71.389999,72.370003,3468800,72.356726
2016-08-01,74.080002,74.540001,73.269997,73.790001,2075000,73.776463
2016-07-29,73.389999,74.43,73.019997,73.970001,1851400,73.95643
