Date,Open,High,Low,Close,Adj Close,Volume
2014-11-11,64.445000,64.665001,64.080002,64.213226,64.525002,556900
2014-11-12,null,null,null,null,null,null
2014-11-13,null,null,null,null,null,null
2014-11-14,null,null,null,null,null,null
2014-11-17,null,null,null,null,null,null
2014-11-18,null,null,null,null,null,null
2014-11-19,null,null,null,null,null,null
2014-11-20,null,null,null,null,null,null
2014-11-21,null,null,null,null,null,null
2014-11-24,null,null,null,null,null,null
2014-11-25,null,null,null,null,null,null
2014-11-26,67.485001,67.940002,67.235001,67.527145,67.855003,706900
2014-11-28,null,null,null,null,null,null
2014-12-01,null,null,null,null,null,null
2014-12-02,null,null,null,null,null,null
2014-12-03,67.410004,68.254997,67.245003,67.741096,68.070000,1001700
2014-12-04,67.680000,68.375000,66.849998,67.477379,67.805000,1145100
2014-12-05,null,null,null,null,null,null
2014-12-08,67.665001,68.239998,66.099998,66.457329,66.779999,1311900
2014-12-09,64.589996,66.735001,64.105003,66.258308,66.580002,1977600
2014-12-10,66.070000,66.114998,63.180000,63.123520,63.430000,1896900
2014-12-11,null,null,null,null,null,null
2014-12-12,62.915001,64.000000,61.209999,60.954052,61.250000,1762900
2014-12-15,62.264999,62.724998,59.275002,59.590672,59.880001,2317900
2014-12-16,null,null,null,null,null,null
2014-12-17,58.974998,62.404999,58.825001,61.789997,62.090000,2653800
2014-12-18,64.680000,66.555000,63.915001,66.193619,66.514999,2850400
2014-12-19,67.285004,68.190002,66.535004,67.049461,67.375000,2150600
2014-12-22,67.570000,68.275002,67.269997,67.941574,68.199997,975700
2014-12-23,68.989998,69.000000,68.305000,68.315140,68.574997,1051100
2014-12-24,68.824997,69.089996,68.500000,68.310165,68.570000,397200
2014-12-26,null,null,null,null,null,null
2014-12-29,68.945000,69.695000,68.860001,69.166916,69.430000,564700
2014-12-30,null,null,null,null,null,null
2014-12-31,68.724998,68.894997,66.175003,66.053741,66.305000,1440200
2015-01-02,67.125000,67.595001,64.964996,65.874435,66.125000,1636100
2015-01-05,64.934998,65.150002,62.230000,62.327919,62.564999,2575000
2015-01-06,62.924999,63.500000,59.939999,60.639339,60.869999,2920500
2015-01-07,null,null,null,null,null,null
2015-01-08,64.690002,66.675003,64.665001,66.193222,66.445000,2294000
2015-01-09,null,null,null,null,null,null
2015-01-12,null,null,null,null,null,null
2015-01-13,64.705002,65.925003,61.290001,62.492294,62.730000,2814600
2015-01-14,60.505001,61.814999,59.465000,61.396461,61.630001,3214200
2015-01-15,null,null,null,null,null,null
2015-01-16,null,null,null,null,null,null
2015-01-20,null,null,null,null,null,null
2015-01-21,null,null,null,null,null,null
2015-01-22,null,null,null,null,null,null
2015-01-23,null,null,null,null,null,null
2015-01-26,null,null,null,null,null,null
2015-01-27,null,null,null,null,null,null
2015-01-28,null,null,null,null,null,null
2015-01-29,null,null,null,null,null,null
2015-01-30,null,null,null,null,null,null
2015-02-02,null,null,null,null,null,null
2015-02-03,null,null,null,null,null,null
2015-02-04,null,null,null,null,null,null
2015-02-05,null,null,null,null,null,null
2015-02-06,null,null,null,null,null,null
2015-02-09,null,null,null,null,null,null
2015-02-10,null,null,null,null,null,null
2015-02-11,null,null,null,null,null,null
2015-02-12,null,null,null,null,null,null
2015-02-13,null,null,null,null,null,null
2015-02-17,null,null,null,null,null,null
2015-02-18,null,null,null,null,null,null
2015-02-19,null,null,null,null,null,null
2015-02-20,null,null,null,null,null,null
2015-02-23,null,null,null,null,null,null
2015-02-24,null,null,null,null,null,null
2015-02-25,null,null,null,null,null,null
2015-02-26,null,null,null,null,null,null
2015-02-27,null,null,null,null,null,null
2015-03-02,70.625000,71.904999,70.625000,71.567764,71.839996,854000
2015-03-03,null,null,null,null,null,null
2015-03-04,70.214996,70.309998,68.879997,69.749695,70.014999,1288800
2015-03-05,null,null,null,null,null,null
2015-03-06,null,null,null,null,null,null
2015-03-09,null,null,null,null,null,null
2015-03-10,null,null,null,null,null,null
2015-03-11,null,null,null,null,null,null
2015-03-12,null,null,null,null,null,null
2015-03-13,null,null,null,null,null,null
2015-03-16,null,null,null,null,null,null
2015-03-17,null,null,null,null,null,null
2015-03-18,null,null,null,null,null,null
2015-03-19,null,null,null,null,null,null
2015-03-20,null,null,null,null,null,null
2015-03-23,null,null,null,null,null,null
2015-03-24,null,null,null,null,null,null
2015-03-25,null,null,null,null,null,null
2015-03-26,null,null,null,null,null,null
2015-03-27,null,null,null,null,null,null
2015-03-30,null,null,null,null,null,null
2015-03-31,null,null,null,null,null,null
2015-04-01,null,null,null,null,null,null
2015-04-02,65.945000,67.214996,65.724998,66.372528,66.625000,1094700
2015-04-06,null,null,null,null,null,null
2015-04-07,null,null,null,null,null,null
2015-04-08,67.785004,68.680000,67.300003,67.931602,68.190002,2325200
2015-04-09,null,null,null,null,null,null
2015-04-10,null,null,null,null,null,null
2015-04-13,null,null,null,null,null,null
2015-04-14,null,null,null,null,null,null
2015-04-15,null,null,null,null,null,null
2015-04-16,70.195000,71.114998,69.949997,70.237823,70.504997,778500
2015-04-17,null,null,null,null,null,null
2015-04-20,null,null,null,null,null,null
2015-04-21,70.764999,70.934998,69.345001,69.420937,69.684998,906100
2015-04-22,null,null,null,null,null,null
2015-04-23,null,null,null,null,null,null
2015-04-24,null,null,null,null,null,null
2015-04-27,null,null,null,null,null,null
2015-04-28,null,null,null,null,null,null
2015-04-29,null,null,null,null,null,null
2015-04-30,null,null,null,null,null,null
2015-05-01,null,null,null,null,null,null
2015-05-04,71.214996,72.000000,71.074997,71.064682,71.334999,824000
2015-05-05,null,null,null,null,null,null
2015-05-06,null,null,null,null,null,null
2015-05-07,null,null,null,null,null,null
2015-05-08,null,null,null,null,null,null
2015-05-11,null,null,null,null,null,null
2015-05-12,69.485001,70.500000,68.485001,69.545456,69.809998,1678200
2015-05-13,null,null,null,null,null,null
2015-05-14,null,null,null,null,null,null
2015-05-15,null,null,null,null,null,null
